Designator,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",217.487500,-31.781750,90.000000,bottom
"C2","22pF","C_0805_2012Metric",227.012500,-26.987500,90.000000,bottom
"C3","22pF","C_0805_2012Metric",217.487500,-26.987500,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",223.774000,-61.912500,180.000000,bottom
"C5","0.1uF","C_0805_2012Metric",231.775000,-45.593000,90.000000,bottom
"C6","1uF","C_0805_2012Metric",213.487000,-49.657000,270.000000,bottom
"C7","10uF","C_0805_2012Metric",212.598000,-54.102000,270.000000,bottom
"D1","SOD-123","D_SOD-123",30.162500,-22.225000,90.000000,bottom
"D2","SOD-123","D_SOD-123",49.212500,-22.225000,90.000000,bottom
"D3","SOD-123","D_SOD-123",68.262500,-22.225000,90.000000,bottom
"D4","SOD-123","D_SOD-123",87.312500,-22.225000,90.000000,bottom
"D5","SOD-123","D_SOD-123",106.362500,-22.225000,90.000000,bottom
"D6","SOD-123","D_SOD-123",125.412500,-22.225000,90.000000,bottom
"D7","SOD-123","D_SOD-123",144.462500,-22.225000,90.000000,bottom
"D8","SOD-123","D_SOD-123",163.512500,-22.225000,90.000000,bottom
"D9","SOD-123","D_SOD-123",182.562500,-22.225000,90.000000,bottom
"D10","SOD-123","D_SOD-123",201.612500,-22.225000,90.000000,bottom
"D11","SOD-123","D_SOD-123",203.993750,-22.225000,90.000000,bottom
"D12","SOD-123","D_SOD-123",239.712500,-22.225000,90.000000,bottom
"D13","SOD-123","D_SOD-123",258.762500,-22.225000,90.000000,bottom
"D14","SOD-123","D_SOD-123",277.812500,-22.225000,90.000000,bottom
"D15","SOD-123","D_SOD-123",296.862500,-22.225000,90.000000,bottom
"D16","SOD-123","D_SOD-123",30.162500,-41.275000,90.000000,bottom
"D17","SOD-123","D_SOD-123",49.212500,-41.275000,90.000000,bottom
"D18","SOD-123","D_SOD-123",68.262500,-41.275000,90.000000,bottom
"D19","SOD-123","D_SOD-123",87.312500,-41.275000,90.000000,bottom
"D20","SOD-123","D_SOD-123",106.362500,-41.275000,90.000000,bottom
"D21","SOD-123","D_SOD-123",125.412500,-41.275000,90.000000,bottom
"D22","SOD-123","D_SOD-123",144.462500,-41.275000,90.000000,bottom
"D23","SOD-123","D_SOD-123",163.512500,-41.275000,90.000000,bottom
"D24","SOD-123","D_SOD-123",182.562500,-41.275000,90.000000,bottom
"D25","SOD-123","D_SOD-123",201.612500,-41.275000,90.000000,bottom
"D26","SOD-123","D_SOD-123",203.993750,-41.275000,90.000000,bottom
"D27","SOD-123","D_SOD-123",239.712500,-41.275000,90.000000,bottom
"D28","SOD-123","D_SOD-123",258.762500,-41.275000,90.000000,bottom
"D29","SOD-123","D_SOD-123",277.812500,-41.275000,90.000000,bottom
"D30","SOD-123","D_SOD-123",296.862500,-41.275000,90.000000,bottom
"D31","SOD-123","D_SOD-123",30.162500,-60.325000,90.000000,bottom
"D32","SOD-123","D_SOD-123",49.212500,-60.325000,90.000000,bottom
"D33","SOD-123","D_SOD-123",68.262500,-60.325000,90.000000,bottom
"D34","SOD-123","D_SOD-123",87.312500,-60.325000,90.000000,bottom
"D35","SOD-123","D_SOD-123",106.362500,-60.325000,90.000000,bottom
"D36","SOD-123","D_SOD-123",125.412500,-60.325000,90.000000,bottom
"D37","SOD-123","D_SOD-123",144.462500,-60.325000,90.000000,bottom
"D38","SOD-123","D_SOD-123",163.512500,-60.325000,90.000000,bottom
"D39","SOD-123","D_SOD-123",182.562500,-60.325000,90.000000,bottom
"D40","SOD-123","D_SOD-123",201.612500,-60.325000,90.000000,bottom
"D41","SOD-123","D_SOD-123",203.962000,-60.325000,90.000000,bottom
"D42","SOD-123","D_SOD-123",239.712500,-60.325000,90.000000,bottom
"D43","SOD-123","D_SOD-123",268.287500,-60.325000,90.000000,bottom
"D44","SOD-123","D_SOD-123",296.862500,-60.325000,90.000000,bottom
"D45","SOD-123","D_SOD-123",30.162500,-79.375000,90.000000,bottom
"D46","SOD-123","D_SOD-123",49.212500,-79.375000,90.000000,bottom
"D47","SOD-123","D_SOD-123",68.262500,-79.375000,90.000000,bottom
"D48","SOD-123","D_SOD-123",86.518750,-79.375000,90.000000,bottom
"D49","SOD-123","D_SOD-123",106.362500,-79.375000,90.000000,bottom
"D50","SOD-123","D_SOD-123",125.412500,-79.375000,90.000000,bottom
"D51","SOD-123","D_SOD-123",144.462500,-79.375000,90.000000,bottom
"D52","SOD-123","D_SOD-123",163.512500,-79.375000,90.000000,bottom
"D53","SOD-123","D_SOD-123",182.562500,-79.375000,90.000000,bottom
"D54","SOD-123","D_SOD-123",201.612500,-79.375000,90.000000,bottom
"D55","SOD-123","D_SOD-123",220.662500,-79.375000,90.000000,bottom
"D56","SOD-123","D_SOD-123",249.237500,-79.375000,90.000000,bottom
"D57","SOD-123","D_SOD-123",277.812500,-79.375000,90.000000,bottom
"D58","SOD-123","D_SOD-123",296.862500,-79.375000,90.000000,bottom
"D59","SOD-123","D_SOD-123",30.162500,-98.425000,90.000000,bottom
"D60","SOD-123","D_SOD-123",49.212500,-98.425000,90.000000,bottom
"D61","SOD-123","D_SOD-123",68.262500,-98.425000,90.000000,bottom
"D62","SOD-123","D_SOD-123",87.312500,-98.425000,90.000000,bottom
"D63","SOD-123","D_SOD-123",106.362500,-98.425000,90.000000,bottom
"D64","SOD-123","D_SOD-123",134.937500,-98.425000,90.000000,bottom
"D65","SOD-123","D_SOD-123",163.512500,-98.425000,90.000000,bottom
"D66","SOD-123","D_SOD-123",182.562500,-98.425000,90.000000,bottom
"D67","SOD-123","D_SOD-123",201.612500,-98.425000,90.000000,bottom
"D68","SOD-123","D_SOD-123",220.662500,-98.425000,90.000000,bottom
"D69","SOD-123","D_SOD-123",239.712500,-98.425000,90.000000,bottom
"D70","SOD-123","D_SOD-123",258.762500,-98.425000,90.000000,bottom
"D71","SOD-123","D_SOD-123",277.812500,-98.425000,90.000000,bottom
"D72","SOD-123","D_SOD-123",296.862500,-98.425000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",95.123000,-33.528000,0.000000,bottom
"J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",66.675000,-31.750000,270.000000,bottom
"R1","22","R_0805_2012Metric",107.950000,-32.766000,180.000000,bottom
"R2","22","R_0805_2012Metric",107.950000,-30.734000,180.000000,bottom
"R3","10k","R_0805_2012Metric",213.995000,-31.750000,90.000000,bottom
"R4","10k","R_0805_2012Metric",231.902000,-53.340000,270.000000,bottom
"SW1","SW_Push","SKQG-1155865",203.200000,-31.750000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",223.107250,-49.847500,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",222.091250,-26.987500,180.000000,bottom
